pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
HD 63433 c,HD 63433,2020,Transit,2.692,15.539,Mass,20.5438281,678.92,35.3582,0.146,5553,0.934,0.956,-0.07,0.414,22.4035
HD 63935 b,HD 63935,2021,Transit,2.91575244,10.5,Mass,9.058807,825.22,115.6,0.083,5513,0.9598,0.9406,0.107,6.6,48.9739
HD 715 b,HD 715,2026,Transit,11.99360935,201.8210384,Mass,56.4,798,67.3,0.336,6070,2.5,1.6,0.09,2.1,167.253
HD 73344 b,HD 73344,2024,Transit,2.884,10.48,Mass,15.611,911,111.9729,0.131,6252.6,1.22,1.2,0.143,1.15,35.26
HD 73583 b,HD 73583,2022,Transit,2.79,10.2,Mass,6.398042,714,43.3,0.0604,4511,0.65,0.73,0,0.48,31.5666
HD 73583 c,HD 73583,2022,Transit,2.39,9.7,Mass,18.87974,498,10.2,0.1242,4511,0.65,0.73,0,0.48,31.5666
HD 77946 b,HD 77946,2024,Transit,2.89646124,10.9,Mass,6.527363,1128.86,413.1008,0.073,6007,1.3174,1.1973,0.215,3.1,99.451
HD 80653 b,HD 80653,2020,Transit,1.621,5.61,Mass,0.71957926,2438,6130,0.01657,5959,1.199,1.15,0.255,3.3,109.86
HD 86226 c,HD 86226,2020,Transit,2.16,7.25,Mass,3.98442,1311,647.901,0.049,5863,1.053,1.019,0.018,4.6,45.683
HD 89345 b,HD 89345,2018,Transit,7.39794,34.9613,Mass,11.8143,1089,275.6427,0.1066,5576,1.747,1.157,0.421,7.53,132.345
HD 93963 A b,HD 93963 A,2022,Transit,1.46954368,2.8,Mass,1.0376109,1842.23,2898,0.02061,5908,1.0311,1.0844,0.11,1.3,82.3432
HD 93963 A c,HD 93963 A,2022,Transit,3.11976057,18.4,Mass,3.6451389,1212.45,543.8,0.04726,5908,1.0311,1.0844,0.11,1.3,82.3432
HIP 116454 b,HIP 116454,2014,Transit,2.469,9.7,Mass,9.1004157,753.2,51.2858,0.0792,5048,0.758,0.8,0,5.5,62.4491
HIP 41378 b,HIP 41378,2016,Transit,2.64,6.9,Mass,15.57209,959,140,0.1303,6290,1.3,1.22,-0.05,2.07,106.289
HIP 41378 c,HIP 41378,2016,Transit,2.74,5.97,Mass,31.70591,757,54,0.2093,6290,1.3,1.22,-0.05,2.07,106.289
HIP 41378 d,HIP 41378,2016,Transit,3.65,6.53,Mass,278.3618,367,3.01,1.17,6290,1.3,1.22,-0.05,2.07,106.289
HIP 41378 e,HIP 41378,2016,Transit,5.19,7.62,Mass,393,335,2.1,0.68,6290,1.3,1.22,-0.05,2.07,106.289
HIP 41378 f,HIP 41378,2016,Transit,9.47,25,Mass,542.0797,294,1.24,1.394,6290,1.3,1.22,-0.05,2.07,106.289
HIP 65 A b,HIP 65 A,2020,Transit,22.75427,1021.18779,Mass,0.9809734,1411,661,0.01782,4590,0.7242,0.781,0.18,4.1,61.7856
HIP 8152 b,HIP 8152,2023,Transit,2.53625843,8.9,Mass,10.751014,794.96,88.9,0.093,5618,0.9603,0.9373,0.007,6,101.694
HIP 8152 c,HIP 8152,2023,Transit,2.52442508,10.7,Mass,19.60562,650.68,39.9,0.139,5618,0.9603,0.9373,0.007,6,101.694
HIP 94235 b,HIP 94235,2022,Transit,3,379,Mass,7.713057,1060,219.2841,0.0787,5991,1.08,1.094,0,0.118,58.5146
HIP 9618 b,HIP 9618,2023,Transit,3.82838127,8.3,Mass,20.772858,640.88,40.3,0.145,5649,0.9593,0.942,-0.018,5.6,67.5478
HIP 9618 c,HIP 9618,2023,Transit,3.42855926,7,Mass,52.56363,470.31,11.7,0.269,5649,0.9593,0.942,-0.018,5.6,67.5478
