pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
"V0391 Peg b","V0391 Peg",2007,"Pulsation Timing Variations",13.10000000,1017.05600000,"Msini",1170.00000000000,519.69,9.3750,1.7000000000,29300.00,0.230000,0.500000,,10.0000,1195.98000000
"V1298 Tau b","V1298 Tau",2019,"Transit",9.41000000,13.10000000,"Mass",24.14000600000,666.00,33.2000,0.1685000000,4970.00,1.320000,1.100000,0.1000,0.0200,108.19900000
"V1298 Tau c","V1298 Tau",2019,"Transit",5.08000000,4.70000000,"Mass",8.24916400000,953.00,146.0000,0.0824000000,4970.00,1.320000,1.100000,0.1000,0.0200,108.19900000
"V1298 Tau d","V1298 Tau",2019,"Transit",6.53000000,6.00000000,"Mass",12.40139400000,831.00,85.0000,0.1081000000,4970.00,1.320000,1.100000,0.1000,0.0200,108.19900000
"V1298 Tau e","V1298 Tau",2019,"Transit",10.17000000,15.30000000,"Mass",48.67771400000,527.00,10.0000,0.2689000000,4970.00,1.320000,1.100000,0.1000,0.0200,108.19900000
"V2376 Ori b","V2376 Ori",2025,"Imaging",87.20586985,6356.56814000,"Mass",,2100.00,,71.0000000000,,,0.450000,,0.0070,
"V830 Tau b","V830 Tau",2016,"Radial Velocity",14.00000000,222.48100000,"Mass",4.92700000000,1213.95,370.0414,0.0570000000,4250.00,2.000000,1.000000,-0.0800,0.0022,130.11100000
"VHS J125601.92-125723.9 b","VHS J125601.92-125723.9",2015,"Imaging",13.67495645,5085.25451200,"Mass",5800000.00000000000,1194.00,0.0000,350.0000000000,2620.00,,0.070000,,0.1400,12.70000000
"WASP-1 b","WASP-1",2007,"Transit",16.62300000,271.41500000,"Mass",2.51994540000,1812.00,2121.5175,0.0388900000,6110.00,1.470000,1.240000,0.1700,3.4000,393.07200000
"WASP-10 b","WASP-10",2008,"Transit",12.10600000,1001.12000000,"Mass",3.09276160000,1370.00,174.0323,0.0378100000,4675.00,0.698000,0.750000,0.0300,7.0000,140.99800000
"WASP-100 b","WASP-100",2014,"Transit",14.90797000,400.46580000,"Mass",2.84938000000,2099.00,5502.8822,0.0457400000,6900.00,1.570000,0.770000,-0.0300,1.5700,364.41100000
"WASP-101 b","WASP-101",2014,"Transit",16.02887000,162.09330000,"Mass",3.58572000000,1560.00,1089.1710,0.0505700000,6380.00,1.310000,1.410000,0.2000,1.1400,201.22400000
"WASP-102 b","WASP-102",2025,"Transit",14.90794433,197.68926915,"Mass",2.70981300000,1671.00,1293.0000,0.0410000000,5990.00,1.375000,1.080000,-0.2000,0.6700,535.68900000
"WASP-103 b","WASP-103",2014,"Transit",17.12700000,473.54700000,"Mass",0.92554200000,2508.00,6568.6932,0.0198500000,6110.00,1.436000,1.220000,0.0600,4.0000,375.64700000
"WASP-104 b","WASP-104",2014,"Transit",12.74500000,404.26300000,"Mass",1.75541370000,1516.00,867.7365,0.0291800000,5475.00,0.963000,1.076000,0.3200,3.0000,185.93200000
"WASP-105 b","WASP-105",2017,"Transit",10.76064000,572.09400000,"Mass",7.87288000000,900.00,166.5368,0.0750000000,5070.00,0.900000,0.890000,0.2800,,169.27200000
"WASP-106 b","WASP-106",2014,"Transit",12.10569916,613.40882551,"Mass",9.28969000000,1140.00,327.8307,0.0901000000,6002.00,1.470000,1.175000,-0.0200,2.5000,352.18100000
"WASP-107 b","WASP-107",2017,"Transit",10.48039695,33.02237149,"Mass",5.72148750000,736.00,51.0000,0.0550000000,4425.00,0.657000,0.683000,0.0200,3.4000,64.74140000
"WASP-107 c","WASP-107",2020,"Radial Velocity",13.00000000,111.23994245,"Msini",1091.00000000000,,,,4425.00,0.657000,0.683000,0.0200,3.4000,64.74140000
"WASP-108 b","WASP-108",2020,"Transit",15.13212395,283.50293904,"Mass",2.67555212374,1589.00,1360.1641,,6783.00,1.344150,1.167000,0.1478,4.6400,258.77700000
"WASP-11 b","WASP-11",2008,"Transit",12.44199000,251.08570000,"Mass",3.72247000000,992.00,184.9880,0.0435000000,4800.00,0.890000,1.420000,0.0000,7.6000,124.73000000
"WASP-110 b","WASP-110",2021,"Transit",13.19297028,154.78243421,"Mass",3.77840220000,1158.00,279.0000,,5392.00,0.853000,0.814000,-0.1500,11.0000,274.96000000
"WASP-113 b","WASP-113",2016,"Transit",15.79348100,150.96925000,"Mass",4.54216874538,1496.00,821.4050,0.0588500000,5890.00,1.608000,1.318000,0.1000,6.2000,435.15600000
